Output of newbins.pro (FIXED 977 12/00 SCS)
N2 branching ratios and cross sections.
  
 Wavelength Bins (A)  X      A      B      C      F     Diss   TotIon   TotAbs
  540.00    550.00   0.37   0.53   0.10   0.00   0.00   0.00  25.13200  25.13200
  550.00    560.00   0.35   0.54   0.11   0.00   0.00   0.00  24.10864  24.10864
  560.00    570.00   0.35   0.55   0.10   0.00   0.00   0.00  22.94948  22.94948
  570.00    580.00   0.35   0.56   0.09   0.00   0.00   0.00  22.47700  22.47700
  580.00    590.00   0.36   0.54   0.09   0.00   0.00   0.00  22.40000  22.40000
  590.00    600.00   0.32   0.58   0.10   0.00   0.00   0.00  22.56107  22.56107
  600.00    610.00   0.30   0.59   0.12   0.00   0.00   0.00  22.79500  22.79500
  610.00    620.00   0.30   0.58   0.12   0.00   0.00   0.00  22.99800  22.99800
  620.00    630.00   0.31   0.58   0.11   0.00   0.00   0.00  23.36362  23.36362
  630.00    640.00   0.32   0.57   0.11   0.00   0.00   0.00  23.61800  23.61800
  640.00    650.00   0.31   0.58   0.11   0.00   0.00   0.00  23.72167  23.72167
  650.00    660.00   0.30   0.59   0.11   0.00   0.00   0.00  24.00749  24.00749
  660.00    670.00   0.33   0.64   0.03   0.00   0.00   0.00  23.35600  25.74400
  670.00    680.00   0.31   0.69   0.00   0.00   0.00   0.00  33.30000  34.30000
  680.00    690.00   0.32   0.68   0.00   0.00   0.00   0.00  30.70006  32.30401
  690.00    700.00   0.36   0.64   0.00   0.00   0.00   0.00  27.82805  33.30706
  700.00    710.00   0.37   0.63   0.00   0.00   0.00   0.00  25.39828  26.52128
  710.00    720.00   0.39   0.61   0.00   0.00   0.00   0.00  16.76258  23.65601
  720.00    730.00   0.57   0.43   0.00   0.00   0.00   0.00  17.85484  31.88758
  730.00    740.00   0.67   0.33   0.00   0.00   0.00   0.00  12.44050  22.77442
  740.00    750.00   0.75   0.25   0.00   0.00   0.00   0.00   8.31765  23.34281
  750.00    760.00   0.95   0.05   0.00   0.00   0.00   0.00  13.18993  25.71397
  760.00    770.00   1.00   0.00   0.00   0.00   0.00   0.00  41.80604  77.56787
  770.00    780.00   1.00   0.00   0.00   0.00   0.00   0.00  10.34370  19.42565
  780.00    790.00   1.00   0.00   0.00   0.00   0.00   0.00   9.60785  22.21091
  790.00    800.00   1.00   0.00   0.00   0.00   0.00   0.00  10.59727  23.48557
  800.00    810.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  21.24351
  810.00    820.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  36.57803
  820.00    830.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  10.44206
  830.00    840.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  15.25881
  840.00    850.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  14.26919
  850.00    860.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  17.54349
  860.00    870.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  11.54681
  870.00    880.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  30.08542
  880.00    890.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  31.75045
  890.00    900.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  12.24226
  900.00    910.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   8.00282
  910.00    920.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   5.93999
  920.00    930.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  18.37253
  930.00    940.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  12.78411
  940.00    950.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  12.82628
  950.00    960.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  11.97076
  960.00    970.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000  21.56515
  970.00    980.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   2.20000
  980.00    990.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   4.50233
  990.00   1000.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1000.00   1010.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1010.00   1020.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1020.00   1030.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1030.00   1040.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1040.00   1050.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1050.00   1100.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1100.00   1150.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1150.00   1210.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1210.00   1220.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1220.00   1250.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1250.00   1300.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1300.00   1350.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1350.00   1400.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1400.00   1450.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1450.00   1500.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1500.00   1550.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1550.00   1600.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1600.00   1650.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1650.00   1700.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
 1700.00   1750.00   0.00   0.00   0.00   0.00   0.00   0.00   0.00000   0.00000
