
  Min     & Max     &   $S_{1i}$    & $S_{Ai}$    & $S_{Di}$    &  $I_i$         &  $Pi$      & $Ai$      \\
   629.73 &  629.73 &   4.96048e-08 & 2.46454e-07 & 3.12902e-08 & 1.59200e-05    &  1.01611   &  0.846628 \\
   609.76 &  609.76 &   2.80641e-08 & 3.24530e-07 & 1.81554e-08 & 1.68460e-06    & 0.973085   &  0.793355 \\
   550.00 &  600.00 &   1.12234e-07 & 6.29889e-07 & 1.56092e-07 & 2.79143e-05    & 0.961457   &  0.970150 \\
   584.33 &  584.33 &   7.91646e-08 & 3.05430e-07 & 5.14430e-08 & 1.70372e-05    & 0.844250   &  0.881026 \\
   554.31 &  554.31 &   2.47485e-08 & 2.68042e-07 & 5.40951e-08 & 1.16226e-06    &  1.08699   &   1.01483 \\
   500.00 &  550.00 &   1.12037e-07 & 7.84515e-07 & 6.32364e-08 & 4.55230e-06    &  1.13480   &  0.816868 \\
   450.00 &  500.00 &   1.10016e-07 & 3.96192e-07 & 7.37101e-08 & 2.62692e-05    &  1.15344   &  0.865234 \\
   465.22 &  465.22 &   9.60010e-09 & 1.75358e-08 & 6.91440e-11 & 1.45142e-05    &  1.62256   & -0.203971 \\
   400.00 &  450.00 &   5.15555e-08 & 2.89821e-07 & 3.85807e-08 & 1.64207e-05    &  1.36652   &  0.893190 \\
   350.00 &  400.00 &   3.91955e-07 & 1.43942e-06 & 3.16713e-07 &-2.36108e-06    &  1.05819   &  0.910235 \\
   368.07 &  368.07 &   1.38855e-07 & 7.21254e-07 & 1.01814e-07 & 8.71098e-07    &  1.26707   &  0.890513 \\
   300.00 &  350.00 &   1.35439e-06 & 1.09238e-05 & 8.24308e-07 & 4.35250e-05    &  1.22619   &  0.816515 \\
   303.78 &  303.78 &   7.43959e-07 & 5.94012e-06 & 4.05188e-07 & 9.23799e-05    &  1.32976   &  0.796970 \\
   303.31 &  303.31 &   5.25977e-07 & 7.87164e-06 & 3.07932e-07 & 7.87468e-05    & 0.945961   &  0.759694 \\
   250.00 &  300.00 &   9.10710e-07 & 3.91586e-06 & 1.20177e-06 &-9.64301e-06    &  1.07360   &  0.958369 \\
   284.15 &  284.15 &   8.67633e-07 & 6.00671e-06 & 3.97664e-07 &-0.000107230    &  1.20608   &  0.773950 \\
   256.30 &  256.30 &   6.44996e-08 & 4.12637e-07 & 1.05193e-07 & 6.61853e-06    &  1.48670   &   1.03265 \\
   200.00 &  250.00 &   4.83013e-07 & 1.18898e-06 & 8.94772e-07 & 5.34779e-05    &  1.04532   &   1.07888 \\
   150.00 &  200.00 &   7.13305e-07 & 2.47623e-06 & 9.78936e-07 & 0.000261230    &  1.47374   &   1.01156 \\
   100.00 &  150.00 &   4.03676e-08 & 2.28270e-07 & 4.43965e-08 & 2.16162e-05    &  1.09062   &  0.970310 \\
    50.00 &  100.00 &   1.69769e-07 & 6.93618e-07 & 2.89457e-07 & 2.03013e-05    &  1.07887   &   1.06022 \\
    32.00 &   50.00 &   1.23478e-07 & 4.43644e-07 & 1.75749e-07 &-1.34567e-05    &  1.27409   &   1.01254 \\
    23.00 &   32.00 &   6.10174e-08 & 2.34313e-07 & 1.10591e-07 &-1.22729e-05    & 0.699812   &   1.04841 \\
    16.00 &   23.00 &   2.23866e-07 & 7.97533e-07 & 3.03563e-07 &-5.62012e-05    & 0.706360   &  0.987835 \\
     8.00 &   16.00 &   3.10773e-07 & 1.22767e-06 & 3.74797e-07 &-8.41459e-05    &  1.39529   &  0.963859 \\
     4.00 &    8.00 &   1.17378e-08 & 7.13970e-08 & 1.38839e-08 &-3.63146e-06    & 0.811119   &  0.920702 \\
     2.00 &    4.00 &   3.97985e-09 & 4.12085e-08 & 4.71914e-09 &-1.86099e-06    &  1.15214   &  0.916686 \\
     1.00 &    2.00 &   3.52498e-09 & 1.57342e-08 & 4.03741e-09 &-8.84488e-07    & 0.951714   &  0.943490 \\
